Time,Right_hand_fatigue,Right_hand_intermittent,Left_hand_fatigue,Left_hand_intermittent,,
29.3,35.9342323702,83.2957081979,34.0068871672,3.00762865739,,
29.4,36.149879386,85.0208843236,33.7912401515,3.22327567311,,
29.5,38.0907025274,67.1491378958,33.5755931358,3.00762865739,,
29.6,38.7376435746,29.2626528214,33.5755931358,3.22327567311,,
29.7,38.0907025274,4.30151075171,32.7130050729,3.00762865739,,
29.8,38.0907025274,1.71374656307,32.2817110415,3.00762865739,,
29.9,38.0907025274,1.71374656307,32.4973580572,4.73280478315,,
30,37.8750555117,1.71374656307,32.7130050729,38.7376435746,,
30.1,37.8750555117,1.71374656307,32.4973580572,77.4867167119,,
30.2,37.0124674488,1.49809954735,32.4973580572,82.8644141664,,
30.3,37.0124674488,1.49809954735,32.4973580572,79.8453559463,,
30.4,37.0124674488,1.71374656307,32.9286520886,78.9827678835,,
30.5,37.8750555117,1.71374656307,32.4973580572,76.1928346176,,
30.6,37.8750555117,1.92939357879,31.85041701,39.168937606,,
30.7,37.0124674488,15.0569056608,32.2817110415,7.73838506476,,
30.8,36.3655264017,49.4930384837,32.4973580572,4.93497386039,,
30.9,36.149879386,76.4084816333,32.2817110415,4.51715776743,,
31,35.9342323702,95.560632217,32.2817110415,4.30151075171,,
31.1,36.149879386,103.957387892,32.2817110415,4.08586373599,,
31.2,36.149879386,108.041203252,32.7130050729,3.87021672027,,
31.3,35.9342323702,104.604328939,32.0660640257,3.65456970455,,
31.4,36.3655264017,72.3111883346,31.6347699943,3.65456970455,,
31.5,37.0124674488,8.81662014336,32.4973580572,3.43892268883,,
31.6,37.8750555117,2.36068761023,32.7130050729,3.43892268883,,
31.7,37.8750555117,2.14504059451,32.4973580572,6.87579700188,,
31.8,38.0907025274,1.92939357879,32.4973580572,35.7185853545,,
31.9,37.8750555117,1.92939357879,32.4973580572,66.2865498329,,
32,37.0124674488,1.71374656307,32.2817110415,68.8743140216,,
32.1,36.7968204331,1.71374656307,32.2817110415,68.0117259587,,
32.2,36.3655264017,1.71374656307,32.0660640257,68.6586670058,,
32.3,36.149879386,1.71374656307,32.2817110415,70.815137163,,
32.4,36.149879386,1.92939357879,32.2817110415,73.8207174446,,
32.5,36.149879386,1.71374656307,31.85041701,73.8207174446,,
32.6,36.149879386,1.92939357879,31.2034759629,39.6002316375,,
32.7,36.3655264017,4.93497386039,30.7721819314,9.03226715908,,
32.8,36.3655264017,37.8750555117,30.5565349157,3.87021672027,,
32.9,35.9342323702,70.5994901473,30.1252408843,2.79198164167,,
33,36.149879386,78.9827678835,29.9095938685,2.79198164167,,
33.1,36.149879386,89.1046996838,29.9095938685,2.79198164167,,
33.2,36.3655264017,93.1885150441,29.2626528214,3.00762865739,,
33.3,36.5811734174,93.1885150441,29.4782998371,3.22327567311,,
33.4,36.149879386,93.4041620598,29.4782998371,3.65456970455,,
33.5,36.149879386,90.1829347624,29.2626528214,3.87021672027,,
33.6,35.7185853545,72.0955413189,29.2626528214,5.15062087611,,
33.7,35.7185853545,11.8356783635,28.6157117742,36.7968204331,,
33.8,36.5811734174,2.57633462595,28.8313587899,77.0554226805,,
33.9,35.7185853545,1.71374656307,28.8313587899,94.0511031069,,
34,34.4247032602,1.71374656307,29.0470058057,95.560632217,,
34.1,34.2090562445,1.49809954735,29.0470058057,99.2266314842,,
34.2,35.0716443073,1.71374656307,29.2626528214,93.1885150441,,
34.3,34.4247032602,1.49809954735,29.2626528214,53.1590377509,,
34.4,34.4247032602,1.49809954735,29.2626528214,15.2725526765,,
34.5,34.4247032602,1.71374656307,29.2626528214,5.58191490755,,
34.6,33.7912401515,7.73838506476,29.2626528214,4.08586373599,,
34.7,34.6403502759,34.4247032602,29.2626528214,3.65456970455,,
34.8,34.6403502759,57.2428531111,29.0470058057,3.43892268883,,
34.9,34.4247032602,72.742482366,29.2626528214,3.43892268883,,
35,35.0716443073,91.261169841,29.4782998371,3.22327567311,,
35.1,35.5029383388,99.0109844685,29.2626528214,3.22327567311,,
35.2,35.7185853545,103.957387892,29.2626528214,3.22327567311,,
35.3,35.0716443073,94.2667501227,29.2626528214,3.22327567311,,
35.4,34.4247032602,45.8405171549,29.0470058057,3.22327567311,,
35.5,34.2090562445,6.66014998616,29.9095938685,4.08586373599,,
35.6,34.0068871672,2.57633462595,29.4782998371,40.8941137318,,
35.7,34.2090562445,1.71374656307,29.4782998371,80.9235910249,,
35.8,33.5755931358,1.71374656307,29.4782998371,99.4422784999,,
35.9,34.4247032602,1.71374656307,29.4782998371,106.54515208,,
36,33.5755931358,1.49809954735,29.6939468528,101.153976687,,
36.1,33.3599461201,1.49809954735,29.4782998371,97.9327493899,,
36.2,34.6403502759,1.49809954735,29.0470058057,52.5120967038,,
36.3,33.1442991043,1.71374656307,29.2626528214,9.89485522197,,
36.4,34.4247032602,1.49809954735,28.1844177428,4.73280478315,,
36.5,35.0716443073,1.71374656307,28.1844177428,3.87021672027,,
36.6,35.0716443073,1.71374656307,28.4000647585,3.43892268883,,
36.7,34.6403502759,3.22327567311,27.7531237113,3.43892268883,,
36.8,35.0716443073,15.0569056608,27.968770727,3.22327567311,,
36.9,36.149879386,44.3309880449,27.5374766956,3.22327567311,,
37,36.149879386,61.1244993941,26.6883665712,3.22327567311,,
37.1,36.3655264017,66.2865498329,26.6883665712,3.22327567311,,
37.2,35.9342323702,64.1300796757,27.1061826642,3.22327567311,,
37.3,35.2872913231,64.3457266914,27.1061826642,3.22327567311,,
